word,initial_form,case,number,gender
dangstydamiesi,dangstydamasis,V.,dgs.,vyr. g.
dangstydamasis,dangstydamasis,V.,vns.,vyr. g.
dangstydamasi,dangstydamasis,V.,vns.,mot. g.
dangstydamosi,dangstydamasis,V.,dgs.,mot. g.
miegodami,miegodamas,V.,dgs.,vyr. g.
miegodamas,miegodamas,V.,vns.,vyr. g.
miegodama,miegodamas,V.,vns.,mot. g.
miegodamos,miegodamas,V.,dgs.,mot. g.
nekalbędamas,nekalbėdamas,V.,vns.,vyr. g.
nekalbędami,nekalbėdamas,V.,dgs.,vyr. g.
nekalbędama,nekalbėdamas,V.,vns.,mot. g.
nekalbędamos,nekalbėdamas,V.,dgs.,mot. g.
