initial_form,case,number,tense
kabantis,V.,vns.,es. l.
jaudinantis,V.,vns.,es. l.
naikinantis,V.,vns.,es. l.
kabus,V.,vns.,būt. k. l.
laipiojantis,V.,vns.,es. l.
maištaujantis,V.,vns.,es. l.
baisintis,V.,vns.,es. l.
dalyvaujantis,V.,vns.,es. l.
gaivinantis,V.,vns.,es. l.
gaižus,V.,vns.,būt. k. l.
maldaujantis,V.,vns.,es. l.
kaitus,V.,vns.,būt. k. l.
jukus,V.,vns.,būt. k. l.
darganojant,,,es. l.
žaižaruojantis,V.,vns.,es. l.
dargus,V.,vns.,būt. k. l.
urzgus,V.,vns.,būt. k. l.
galiojantis,V.,vns.,es. l.
junkus,V.,vns.,būt. k. l.
kalbus,V.,vns.,būt. k. l.
galvojus,V.,vns.,būt. k. l.
cypus,V.,vns.,būt. k. l.
elgetaujantis,V.,vns.,es. l.
lankaujantis,V.,vns.,es. l.
raminantis,V.,vns.,es. l.
davus,V.,vns.,būt. k. l.
dažantis,V.,vns.,es. l.
valkataujantis,V.,vns.,es. l.
esant,,,es. l.
matantis,V.,vns.,es. l.
gaudus,V.,vns.,būt. k. l.
pačiupinęjus,V.,vns.,būt. k. l.
raudus,V.,vns.,būt. k. l.
kandus,V.,vns.,būt. k. l.
irus,V.,vns.,būt. k. l.
kankinantis,V.,vns.,es. l.
aliarmuojantis,V.,vns.,es. l.
degus,V.,vns.,būt. k. l.
ędus,V.,vns.,būt. k. l.
alinantis,V.,vns.,es. l.
geibus,V.,vns.,būt. k. l.
delsus,V.,vns.,būt. k. l.
alkus,G.,dgs.,būt. k. l.
geidus,V.,vns.,būt. k. l.
žergus,V.,vns.,būt. k. l.
neblizgus,V.,vns.,būt. k. l.
lengvinantis,V.,vns.,es. l.
kariaujantis,V.,vns.,es. l.
žęrintis,V.,vns.,es. l.
geliantis,V.,vns.,es. l.
mažęjantis,V.,vns.,es. l.
bematant,,,es. l.
lepus,V.,vns.,būt. k. l.
nedegus,V.,vns.,būt. k. l.
lesus,V.,vns.,būt. k. l.
žibantis,V.,vns.,es. l.
karščiuojantis,V.,vns.,es. l.
gergždus,V.,vns.,būt. k. l.
beregint,,,es. l.
geriantis,V.,vns.,es. l.
nedirbant,,,es. l.
karšus,V.,vns.,būt. k. l.
regintis,V.,vns.,es. l.
varginantis,V.,vns.,es. l.
lętęjantis,V.,vns.,es. l.
betrumpinant,,,es. l.
negaištant,,,es. l.
beveizint,,,es. l.
bežiūrint,,,es. l.
giežus,V.,vns.,būt. k. l.
kasus,V.,vns.,būt. k. l.
žinantis,V.,vns.,es. l.
dęvintis,V.,vns.,es. l.
bęgus,V.,vns.,būt. k. l.
negilus,V.,vns.,būt. k. l.
sędint,,,es. l.
metantis,V.,vns.,es. l.
birus,G.,dgs.,būt. k. l.
remiantis,V.,vns.,es. l.
sęlinant,,,es. l.
varžantis,V.,vns.,es. l.
linksminantis,V.,vns.,es. l.
vasarojus,V.,vns.,būt. k. l.
gižus,V.,vns.,būt. k. l.
dirbantis,V.,vns.,es. l.
pagavus,V.,vns.,būt. k. l.
važinęjantis,V.,vns.,es. l.
keliaujantis,V.,vns.,es. l.
apgailestaujant,,,es. l.
miegantis,V.,vns.,es. l.
blęstantis,V.,vns.,es. l.
važiuojantis,V.,vns.,es. l.
glamonęjantis,V.,vns.,es. l.
siekiant,,,es. l.
blizgantis,V.,vns.,es. l.
kenčiantis,V.,vns.,es. l.
blykčiojantis,V.,vns.,es. l.
glaudus,V.,vns.,būt. k. l.
migdantis,V.,vns.,es. l.
pagiežus,V.,vns.,būt. k. l.
glebus,V.,vns.,būt. k. l.
blyškus,V.,vns.,būt. k. l.
lydintis,V.,vns.,es. l.
dylantis,V.,vns.,es. l.
blukus,V.,vns.,būt. k. l.
rękiantis,V.,vns.,es. l.
pagyrus,G.,dgs.,būt. k. l.
bodus,G.,dgs.,būt. k. l.
rękus,V.,vns.,būt. k. l.
nejaukus,V.,vns.,būt. k. l.
kertantis,V.,vns.,es. l.
gludus,G.,dgs.,būt. k. l.
simpatizuojantis,V.,vns.,es. l.
nejuokaujant,,,es. l.
ręžiantis,V.,vns.,es. l.
nekalbus,V.,vns.,būt. k. l.
gniužus,V.,vns.,būt. k. l.
minkštinantis,V.,vns.,es. l.
minus,V.,vns.,būt. k. l.
riedantis,V.,vns.,es. l.
sirpus,V.,vns.,būt. k. l.
veriantis,V.,vns.,es. l.
kibus,V.,vns.,būt. k. l.
drebus,V.,vns.,būt. k. l.
bruzdus,V.,vns.,būt. k. l.
verkus,V.,vns.,būt. k. l.
lupus,V.,vns.,būt. k. l.
nelepus,V.,vns.,būt. k. l.
žudantis,V.,vns.,es. l.
lūžinęjantis,V.,vns.,es. l.
nelyginant,,,es. l.
paikiojantis,V.,vns.,es. l.
budintis,V.,vns.,es. l.
budint,,,es. l.
mylintis,V.,vns.,es. l.
driekus,V.,vns.,būt. k. l.
drikus,V.,vns.,būt. k. l.
skaičius,V.,vns.,būt. k. l.
apkalbus,V.,vns.,būt. k. l.
kimus,V.,vns.,būt. k. l.
nemiegant,,,es. l.
skalsus,V.,vns.,būt. k. l.
vyraujantis,V.,vns.,es. l.
sklidus,V.,vns.,būt. k. l.
skriaudus,V.,vns.,būt. k. l.
skubant,,,es. l.
skubantis,V.,vns.,es. l.
skurdinantis,V.,vns.,es. l.
skurdus,V.,vns.,būt. k. l.
slankius,V.,vns.,būt. k. l.
